"id","tag_id","tag_name","tag_description","value_representation"
1755,"(0014,4018)","MeasuredBeamDimensionB","Measured Beam Dimension B","DS"
1756,"(0014,401B)","MeasuredCenterFrequency","Measured Center Frequency","DS"
1757,"(3008,0012)","MeasuredDoseDescription","Measured Dose Description","ST"
1758,"(3008,0064)","MeasuredDoseReferenceNumber","Measured Dose Reference Number","IS"
1759,"(3008,0010)","MeasuredDoseReferenceSequence","Measured Dose Reference Sequence","SQ"
1760,"(3008,0014)","MeasuredDoseType","Measured Dose Type","CS"
1761,"(3008,0016)","MeasuredDoseValue","Measured Dose Value","DS"
1762,"(0040,A300)","MeasuredValueSequence","Measured Value Sequence","SQ"
1763,"(0040,A194)","MeasurementAutomationTrial","Measurement Automation (Trial)","CS"
1764,"(0024,0113)","MeasurementLaterality","Measurement Laterality","CS"
1765,"(0040,A047)","MeasurementPrecisionDescriptionTrial","Measurement Precision Description (Trial)","LO"
1766,"(0040,08EA)","MeasurementUnitsCodeSequence","Measurement Units Code Sequence","SQ"
1767,"(0040,0295)","MeasuringUnitsSequence","Measuring Units Sequence","SQ"
1768,"(0018,5022)","MechanicalIndex","Mechanical Index","DS"
1769,"(2200,0004)","MediaDisposition","Media Disposition","LT"
1770,"(2000,00A2)","MediaInstalledSequence","Media Installed Sequence","SQ"
1771,"(0002,0002)","MediaStorageSOPClassUID","Media Storage SOP Class UID","UI"
1772,"(0002,0003)","MediaStorageSOPInstanceUID","Media Storage SOP Instance UID","UI"
1773,"(0010,2000)","MedicalAlerts","Medical Alerts","LO"
1774,"(0010,1090)","MedicalRecordLocator","Medical Record Locator","LO"
1775,"(2000,0030)","MediumType","Medium Type","CS"
1776,"(2000,0060)","MemoryAllocation","Memory Allocation","IS"
1777,"(2000,00A0)","MemoryBitDepth","Memory Bit Depth","US"
1778,"(0018,9083)","MetaboliteMapCodeSequence","Metabolite Map Code Sequence","SQ"
1779,"(0018,9080)","MetaboliteMapDescription","Metabolite Map Description","ST"
1780,"(3002,0032)","MetersetExposure","Meterset Exposure","DS"
1781,"(300A,035A)","MetersetRate","Meterset Rate","FL"
1782,"(3008,0046)","MetersetRateDelivered","Meterset Rate Delivered","FL"
1783,"(3008,0045)","MetersetRateSet","Meterset Rate Set","FL"
1784,"(0018,9106)","MidSlabPosition","Mid Slab Position","FD"
1785,"(0010,1080)","MilitaryRank","Military Rank","LO"
1786,"(2010,0120)","MinDensity","Min Density","US"
1787,"(50xx,0104)","MinimumCoordinateValue","Minimum Coordinate Value","US"
1788,"(0046,0215)","MinimumKeratometricSequence","Minimum Keratometric Sequence","SQ"
1789,"(0024,0105)","MinimumSensitivityValue","Minimum Sensitivity Value","FL"
1790,"(0008,0061)","ModalitiesInStudy","Modalities in Study","CS"
1791,"(0008,0060)","Modality","Modality","CS"
1792,"(0028,3000)","ModalityLUTSequence","Modality LUT Sequence","SQ"
1793,"(0028,3004)","ModalityLUTType","Modality LUT Type","LO"
1794,"(0052,0016)","ModeOfPercutaneousAccessSequence","Mode of Percutaneous Access Sequence","SQ"
1795,"(0400,0550)","ModifiedAttributesSequence","Modified Attributes Sequence","SQ"
1796,"(0020,3403)","ModifiedImageDate","Modified Image Date","DA"
1797,"(0020,3406)","ModifiedImageDescription","Modified Image Description","LO"
1798,"(0020,3402)","ModifiedImageID","Modified Image ID","CS"
1799,"(0020,3405)","ModifiedImageTime","Modified Image Time","TM"
1800,"(0040,A195)","ModifierCodeSequence","Modifier Code Sequence","SQ"
1801,"(0020,3401)","ModifyingDeviceID","Modifying Device ID","CS"
1802,"(0020,3404)","ModifyingDeviceManufacturer","Modifying Device Manufacturer","LO"
1803,"(0400,0563)","ModifyingSystem","Modifying System","LO"
1804,"(0014,4026)","ModulationType","Modulation Type","CS"
1805,"(3008,0056)","MostRecentTreatmentDate","Most Recent Treatment Date","DA"
1806,"(300A,0410)","MotionSynchronizationSequence","Motion Synchronization Sequence","SQ"
1807,"(0018,9046)","MultiCoilConfiguration","Multi-Coil Configuration","LO"
1808,"(0018,9045)","MultiCoilDefinitionSequence","Multi-Coil Definition Sequence","SQ"
1809,"(0018,9047)","MultiCoilElementName","Multi-Coil Element Name","SH"
1810,"(0018,9048)","MultiCoilElementUsed","Multi-Coil Element Used","CS"
1811,"(0028,9505)","MultiFramePresentationSequence","Multi-frame Presentation Sequence","SQ"
1812,"(0008,1167)","MultiFrameSourceSOPInstanceUID","Multi-frame Source SOP Instance UID","UI"
1813,"(0018,9012)","MultiPlanarExcitation","Multi-planar Excitation","CS"
1814,"(0040,4006)","MultipleCopiesFlag","Multiple Copies Flag","CS"
1815,"(0018,9011)","MultipleSpinEcho","Multiple Spin Echo","CS"
1816,"(003A,0020)","MultiplexGroupLabel","Multiplex Group Label","SH"
1817,"(0018,1068)","MultiplexGroupTimeOffset","Multiplex Group Time Offset","DS"
1818,"(003A,0300)","MultiplexedAudioChannelsDescriptionCodeSequence","Multiplexed Audio Channels Description Code Sequence","SQ"
1819,"(0022,001C)","MydriaticAgentCodeSequence","Mydriatic Agent Code Sequence","SQ"
1820,"(0022,004E)","MydriaticAgentConcentration","Mydriatic Agent Concentration","DS"
1821,"(0022,0042)","MydriaticAgentConcentrationUnitsSequence","Mydriatic Agent Concentration Units Sequence","SQ"
1822,"(0022,0058)","MydriaticAgentSequence","Mydriatic Agent Sequence","SQ"
1823,"(0018,1803)","NTPSourceAddress","NTP Source Address","LO"
1824,"(0008,1060)","NameOfPhysiciansReadingStudy","Name of Physician(s) Reading Study","PN"
1825,"(0040,1010)","NamesOfIntendedRecipientsOfResults","Names of Intended Recipients of Results","PN"
1826,"(0072,0216)","NavigationDisplaySet","Navigation Display Set","US"
1827,"(0072,0214)","NavigationIndicatorSequence","Navigation Indicator Sequence","SQ"
1828,"(0046,0062)","NearPupillaryDistance","Near Pupillary Distance","FD"
1829,"(0024,0048)","NegativeCatchTrialsQuantity","Negative Catch Trials Quantity","US"
1830,"(0008,1000)","NetworkID","Network ID","AE"
1831,"(300A,0114)","NominalBeamEnergy","Nominal Beam Energy","DS"
1832,"(300A,0015)","NominalBeamEnergyUnit","Nominal Beam Energy Unit","CS"
1833,"(0020,9153)","NominalCardiacTriggerDelayTime","Nominal Cardiac Trigger Delay Time","FD"
1834,"(0020,9154)","NominalCardiacTriggerTimePriorToRPeak","Nominal Cardiac Trigger Time Prior To R-Peak","FL"
1835,"(0014,401A)","NominalFrequency","Nominal Frequency","DS"
1836,"(0018,1062)","NominalInterval","Nominal Interval","IS"
1837,"(0020,9241)","NominalPercentageOfCardiacPhase","Nominal Percentage of Cardiac Phase","FL"
1838,"(0020,9245)","NominalPercentageOfRespiratoryPhase","Nominal Percentage of Respiratory Phase","FL"
1839,"(300A,001A)","NominalPriorDose","Nominal Prior Dose","DS"
1840,"(0020,9255)","NominalRespiratoryTriggerDelayTime","Nominal Respiratory Trigger Delay Time","FD"
1841,"(0018,2010)","NominalScannedPixelSpacing","Nominal Scanned Pixel Spacing","DS"
1842,"(0072,0102)","NominalScreenDefinitionSequence","Nominal Screen Definition Sequence","SQ"
1843,"(0040,4032)","NonDICOMOutputCodeSequence","Non-DICOM Output Code Sequence","SQ"
1844,"(0018,9766)","NonUniformRadialSamplingCorrected","Non-uniform Radial Sampling Corrected","CS"
1845,"(0028,0710)","NormalizationFactorFormat","Normalization Factor Format","US"
1846,"(3004,0008)","NormalizationPoint","Normalization Point","DS"
1847,"(003A,0223)","NotchFilterBandwidth","Notch Filter Bandwidth","DS"
1848,"(003A,0222)","NotchFilterFrequency","Notch Filter Frequency","DS"
1849,"(0068,6265)","NotificationFromManufacturerSequence","Notification From Manufacturer Sequence","SQ"
1850,"(0008,0042)","NuclearMedicineSeriesType","Nuclear Medicine Series Type","CS"
1851,"(4010,1034)","NumberOfAlarmObjects","Number of Alarm Objects","US"
1852,"(0018,0083)","NumberOfAverages","Number of Averages","DS"
1853,"(300A,0080)","NumberOfBeams","Number of Beams","IS"
1854,"(300A,00F0)","NumberOfBlocks","Number of Blocks","IS"
1855,"(300A,00ED)","NumberOfBoli","Number of Boli","IS"
1856,"(300A,00A0)","NumberOfBrachyApplicationSetups","Number of Brachy Application Setups","IS"
1857,"(50xx,2004)","NumberOfChannels","Number of Channels","US"
1858,"(300A,00E0)","NumberOfCompensators","Number of Compensators","IS"
1859,"(3006,0046)","NumberOfContourPoints","Number of Contour Points","IS"
1860,"(300A,0110)","NumberOfControlPoints","Number of Control Points","IS"
1861,"(2000,0010)","NumberOfCopies","Number of Copies","IS"
1862,"(0054,0021)","NumberOfDetectors","Number of Detectors","US"
1863,"(0014,4012)","NumberOfElements","Number of Elements","US"
1864,"(0054,0011)","NumberOfEnergyWindows","Number of Energy Windows","US"
1865,"(0008,2129)","NumberOfEventTimers","Number of Event Timers","IS"
1866,"(2100,0170)","NumberOfFilms","Number of Films","IS"
1867,"(0048,0013)","NumberOfFocalPlanes","Number of Focal Planes","US"
1868,"(300A,0079)","NumberOfFractionPatternDigitsPerDay","Number of Fraction Pattern Digits Per Day","IS"
1869,"(3008,005A)","NumberOfFractionsDelivered","Number of Fractions Delivered","IS"
1870,"(300A,0078)","NumberOfFractionsPlanned","Number of Fractions Planned","IS"
1871,"(0028,0008)","NumberOfFrames","Number of Frames","IS"
1872,"(60xx,0015)","NumberOfFramesInOverlay","Number of Frames in Overlay","IS"
1873,"(0054,0033)","NumberOfFramesInPhase","Number of Frames in Phase","US"
1874,"(0054,0053)","NumberOfFramesInRotation","Number of Frames in Rotation","US"
1875,"(0014,3012)","NumberOfFramesIntegrated","Number of Frames Integrated","DS"
1876,"(0014,3073)","NumberOfFramesUsedForIntegration","Number of Frames Used for Integration","DS"
1877,"(0070,0021)","NumberOfGraphicPoints","Number of Graphic Points","US"
1878,"(0072,0106)","NumberOfHorizontalPixels","Number of Horizontal Pixels","US"
1879,"(0018,9739)","NumberOfIterations","Number of Iterations","US"
1880,"(0018,9093)","NumberOfKSpaceTrajectories","Number of k-Space Trajectories","US"
1881,"(300A,0330)","NumberOfLateralSpreadingDevices","Number of Lateral Spreading Devices","IS"
1882,"(300A,00BC)","NumberOfLeafJawPairs","Number of Leaf/Jaw Pairs","IS"
1883,"(0052,0038)","NumberOfPaddedALines","Number of Padded A-lines","US"
1884,"(300A,039A)","NumberOfPaintings","Number of Paintings","IS"
1885,"(0020,1204)","NumberOfPatientRelatedInstances","Number of Patient Related Instances","IS"
1886,"(0020,1202)","NumberOfPatientRelatedSeries","Number of Patient Related Series","IS"
1887,"(0020,1200)","NumberOfPatientRelatedStudies","Number of Patient Related Studies","IS"
1888,"(0018,0089)","NumberOfPhaseEncodingSteps","Number of Phase Encoding Steps","IS"
1889,"(0054,0031)","NumberOfPhases","Number of Phases","US"
1890,"(50xx,0010)","NumberOfPoints","Number of Points","US"
1891,"(0072,0014)","NumberOfPriorsReferenced","Number of Priors Referenced","US"
1892,"(300A,028A)","NumberOfPulses","Number of Pulses","IS"
1893,"(0054,0061)","NumberOfRRIntervals","Number of R-R Intervals","US"
1894,"(300A,0340)","NumberOfRangeModulators","Number of Range Modulators","IS"
1895,"(300A,0312)","NumberOfRangeShifters","Number of Range Shifters","IS"
1896,"(0054,0051)","NumberOfRotations","Number of Rotations","US"
1897,"(50xx,2006)","NumberOfSamples","Number of Samples","UL"
1898,"(300A,0392)","NumberOfScanSpotPositions","Number of Scan Spot Positions","IS"
1899,"(0072,0100)","NumberOfScreens","Number of Screens","US"
1900,"(0020,1209)","NumberOfSeriesRelatedInstances","Number of Series Related Instances","IS"
1901,"(0054,0081)","NumberOfSlices","Number of Slices","US"
1902,"(0008,2124)","NumberOfStages","Number of Stages","IS"
1903,"(0020,1208)","NumberOfStudyRelatedInstances","Number of Study Related Instances","IS"
1904,"(0020,1206)","NumberOfStudyRelatedSeries","Number of Study Related Series","IS"
1905,"(0018,9740)","NumberOfSubsets","Number of Subsets","US"
1906,"(0066,0015)","NumberOfSurfacePoints","Number of Surface Points","UL"
1907,"(0066,0001)","NumberOfSurfaces","Number of Surfaces","UL"
1908,"(0018,6050)","NumberOfTableBreakPoints","Number of Table Break Points","UL"
1909,"(0018,6056)","NumberOfTableEntries","Number of Table Entries","UL"
1910,"(0028,08x2)","NumberOfTables","Number of Tables","US"
1911,"(0020,0105)","NumberOfTemporalPositions","Number of Temporal Positions","IS"
1912,"(0054,0101)","NumberOfTimeSlices","Number of Time Slices","US"
1913,"(0054,0071)","NumberOfTimeSlots","Number of Time Slots","US"
1914,"(0018,1495)","NumberOfTomosynthesisSourceImages","Number of Tomosynthesis Source Images","IS"
1915,"(4010,1033)","NumberOfTotalObjects","Number of Total Objects","US"
1916,"(0028,0402)","NumberOfTransformSteps","Number of Transform Steps","US"
1917,"(0054,0211)","NumberOfTriggersInPhase","Number of Triggers in Phase","US"
1918,"(0066,001E)","NumberOfVectors","Number of Vectors","UL"
1919,"(0072,0104)","NumberOfVerticalPixels","Number of Vertical Pixels","US"
1920,"(0008,212A)","NumberOfViewsInStage","Number of Views in Stage","IS"
1921,"(0024,0038)","NumberOfVisualStimuli","Number of Visual Stimuli","US"
1922,"(003A,0005)","NumberOfWaveformChannels","Number of Waveform Channels","US"
1923,"(003A,0010)","NumberOfWaveformSamples","Number of Waveform Samples","UL"
1924,"(300A,00D0)","NumberOfWedges","Number of Wedges","IS"
1925,"(0018,9066)","NumberOfZeroFills","Number of Zero Fills","US"
1926,"(0040,A30A)","NumericValue","Numeric Value","DS"
1927,"(0040,A301)","NumericValueQualifierCodeSequence","Numeric Value Qualifier Code Sequence","SQ"
1928,"(0052,0006)","OCTAcquisitionDomain","OCT Acquisition Domain","CS"
1929,"(0052,0002)","OCTFocalDistance","OCT Focal Distance","FD"
1930,"(0052,0007)","OCTOpticalCenterWavelength","OCT Optical Center Wavelength","FD"
1931,"(0052,0026)","OCTZOffsetApplied","OCT Z Offset Applied","CS"
1932,"(0052,0030)","OCTZOffsetCorrection","OCT Z Offset Correction","SS"
1933,"(4010,1041)","OOIOwnerCreationTime","OOI Owner Creation Time","DT"
1934,"(4010,1047)","OOIOwnerSequence","OOI Owner Sequence","SQ"
1935,"(4010,1009)","OOIOwnerType","OOI Owner Type","CS"
1936,"(4010,1043)","OOISize","OOI Size","FL"
1937,"(4010,1042)","OOIType","OOI Type","CS"
1938,"(4010,1068)","OOITypeDescriptor","OOI Type Descriptor","LT"
1939,"(0040,A074)","ObjectBinaryIdentifierTrial","Object Binary Identifier (Trial)","OB"
1940,"(0040,A089)","ObjectDirectoryBinaryIdentifierTrial","Object Directory Binary Identifier (Trial)","OB"
1941,"(0018,9404)","ObjectPixelSpacingInCenterOfBeam","Object Pixel Spacing in Center of Beam","FL"
1942,"(0018,9456)","ObjectThicknessSequence","Object Thickness Sequence","SQ"
1943,"(0048,0113)","ObjectiveLensNumericalAperture","Objective Lens Numerical Aperture","DS"
1944,"(0048,0112)","ObjectiveLensPower","Objective Lens Power","DS"
1945,"(0040,A167)","ObservationCategoryCodeSequenceTrial","Observation Category Code Sequence (Trial)","SQ"
1946,"(0040,A032)","ObservationDateTime","Observation DateTime","DT"
1947,"(0040,A192)","ObservationDateTrial","Observation Date (Trial)","DA"
1948,"(3006,0082)","ObservationNumber","Observation Number","IS"
1949,"(0040,A403)","ObservationSubjectClassTrial","Observation Subject Class (Trial)","CS"
1950,"(0040,A600)","ObservationSubjectContextFlagTrial","Observation Subject Context Flag (Trial)","CS"
1951,"(0040,A404)","ObservationSubjectTypeCodeSequenceTrial","Observation Subject Type Code Sequence (Trial)","SQ"
1952,"(0040,A402)","ObservationSubjectUIDTrial","Observation Subject UID (Trial)","UI"
1953,"(0040,A193)","ObservationTimeTrial","Observation Time (Trial)","TM"
1954,"(0040,A171)","ObservationUID","Observation UID","UI"
1955,"(0040,A601)","ObserverContextFlagTrial","Observer Context Flag (Trial)","CS"
1956,"(0040,A084)","ObserverType","Observer Type","CS"
1957,"(0010,2180)","Occupation","Occupation","SH"
1958,"(0008,225C)","OnAxisBackgroundAnatomicStructureCodeSequenceTrial","On​Axis Background Anatomic Structure Code Sequence (Trial)","SQ"
1959,"(0018,9178)","OperatingMode","Operating Mode","CS"
1960,"(0018,9176)","OperatingModeSequence","Operating Mode Sequence","SQ"
1961,"(0018,9177)","OperatingModeType","Operating Mode Type","CS"
1962,"(0008,1072)","OperatorIdentificationSequence","Operator Identification Sequence","SQ"
1963,"(0008,1070)","OperatorsName","Operators' Name","PN"
1964,"(0022,1019)","OphthalmicAxialLength","Ophthalmic Axial Length","FL"
1965,"(0022,1153)","OphthalmicAxialLengthAcquisitionMethodCodeSequence","Ophthalmic Axial Length Acquisition Method Code Sequence","SQ"
1966,"(0022,1150)","OphthalmicAxialLengthDataSourceCodeSequence","Ophthalmic Axial Length Data Source Code Sequence","SQ"
1967,"(0022,1159)","OphthalmicAxialLengthDataSourceDescription","Ophthalmic Axial Length Data Source Description","LO"
1968,"(0022,1140)","OphthalmicAxialLengthMeasurementModified","Ophthalmic Axial Length Measurement Modified","CS"
1969,"(0022,1212)","OphthalmicAxialLengthMeasurementsLengthSummationSequence","Ophthalmic Axial Length Measurements Length Summation Sequence","SQ"
1970,"(0022,1101)","OphthalmicAxialLengthMeasurementsSegmentNameCodeSequence","Ophthalmic Axial Length Measurements Segment Name Code Sequence","SQ"
1971,"(0022,1211)","OphthalmicAxialLengthMeasurementsSegmentalLengthSequence","Ophthalmic Axial Length Measurements Segmental Length Sequence","SQ"
1972,"(0022,1050)","OphthalmicAxialLengthMeasurementsSequence","Ophthalmic Axial Length Measurements Sequence","SQ"
1973,"(0022,1210)","OphthalmicAxialLengthMeasurementsTotalLengthSequence","Ophthalmic Axial Length Measurements Total Length Sequence","SQ"
1974,"(0022,1010)","OphthalmicAxialLengthMeasurementsType","Ophthalmic Axial Length Measurements Type","CS"
1975,"(0022,1262)","OphthalmicAxialLengthQualityMetricSequence","Ophthalmic Axial Length Quality Metric Sequence","SQ"
1976,"(0022,1265)","OphthalmicAxialLengthQualityMetricTypeCodeSequence","Ophthalmic Axial Length Quality Metric Type Code Sequence","SQ"
1977,"(0022,1273)","OphthalmicAxialLengthQualityMetricTypeDescription","Ophthalmic Axial Length Quality Metric Type Description","LO"
1978,"(0022,1250)","OphthalmicAxialLengthSelectionMethodCodeSequence","Ophthalmic Axial Length Selection Method Code Sequence","SQ"
1979,"(0022,1012)","OphthalmicAxialLengthSequence","Ophthalmic Axial Length Sequence","SQ"
1980,"(0022,1059)","OphthalmicAxialLengthVelocity","Ophthalmic Axial Length Velocity","FL"
1981,"(0022,1009)","OphthalmicAxialMeasurementsDeviceType","Ophthalmic Axial Measurements Device Type","CS"
1982,"(0022,1008)","OphthalmicAxialMeasurementsLeftEyeSequence","Ophthalmic Axial Measurements Left Eye Sequence","SQ"
1983,"(0022,1007)","OphthalmicAxialMeasurementsRightEyeSequence","Ophthalmic Axial Measurements Right Eye Sequence","SQ"
1984,"(0022,0031)","OphthalmicFrameLocationSequence","Ophthalmic Frame Location Sequence","SQ"
1985,"(0022,0039)","OphthalmicImageOrientation","Ophthalmic Image Orientation","CS"
1986,"(0022,1415)","OphthalmicMappingDeviceType","Ophthalmic Mapping Device Type","CS"
1987,"(0024,0114)","OphthalmicPatientClinicalInformationLeftEyeSequence","Ophthalmic Patient Clinical Information Left Eye Sequence","SQ"
1988,"(0024,0115)","OphthalmicPatientClinicalInformationRightEyeSequence","Ophthalmic Patient Clinical Information Right Eye Sequence","SQ"
1989,"(0022,1470)","OphthalmicThicknessMapQualityRatingSequence","Ophthalmic Thickness Map Quality Rating Sequence","SQ"
1990,"(0022,1458)","OphthalmicThicknessMapQualityThresholdSequence","Ophthalmic Thickness Map Quality Threshold Sequence","SQ"
1991,"(0022,1460)","OphthalmicThicknessMapThresholdQualityRating","Ophthalmic Thickness Map Threshold Quality Rating","FL"
1992,"(0022,1436)","OphthalmicThicknessMapTypeCodeSequence","Ophthalmic Thickness Map Type Code Sequence","SQ"
1993,"(0022,1443)","OphthalmicThicknessMappingNormalsSequence","Ophthalmic Thickness Mapping Normals Sequence","SQ"
1994,"(0022,1044)","OphthalmicUltrasoundMethodCodeSequence","Ophthalmic Ultrasound Method Code Sequence","SQ"
1995,"(0022,1225)","OpticalOphthalmicAxialLengthMeasurementsSequence","Optical Ophthalmic Axial Length Measurements Sequence","SQ"
1996,"(0048,0107)","OpticalPathDescription","Optical Path Description","ST"
1997,"(0048,0207)","OpticalPathIdentificationSequence","Optical Path Identification Sequence","SQ"
1998,"(0048,0106)","OpticalPathIdentifier","Optical Path Identifier","SH"
1999,"(0048,0105)","OpticalPathSequence","Optical Path Sequence","SQ"
2000,"(0022,1255)","OpticalSelectedOphthalmicAxialLengthSequence","Optical Selected Ophthalmic Axial Length Sequence","SQ"
2001,"(0046,0040)","OpticalTransmittance","Optical Transmittance","FD"
2002,"(0046,0094)","Optotype","Optotype","CS"
2003,"(0046,0139)","OptotypeDetailedDefinition","Optotype Detailed Definition","LO"
2004,"(0046,0095)","OptotypePresentation","Optotype Presentation","CS"
2005,"(0040,2010)","OrderCallbackPhoneNumber","Order Callback Phone Number","SH"
2006,"(0040,2008)","OrderEnteredBy","Order Entered By","PN"
2007,"(0040,2009)","OrderEntererLocation","Order Enterer's Location","SH"
2008,"(0040,0027)","OrderFillerIdentifierSequence","Order Filler Identifier Sequence","SQ"
2009,"(0040,0026)","OrderPlacerIdentifierSequence","Order Placer Identifier Sequence","SQ"
2010,"(300A,002A)","OrganAtRiskFullVolumeDose","Organ at Risk Full-volume Dose","DS"
2011,"(300A,002B)","OrganAtRiskLimitDose","Organ at Risk Limit Dose","DS"
2012,"(300A,002C)","OrganAtRiskMaximumDose","Organ at Risk Maximum Dose","DS"
2013,"(300A,002D)","OrganAtRiskOverdoseVolumeFraction","Organ at Risk Overdose Volume Fraction","DS"
2014,"(0040,0316)","OrganDose","Organ Dose","DS"
2015,"(0040,0318)","OrganExposed","Organ Exposed","CS"
2016,"(0400,0561)","OriginalAttributesSequence","Original Attributes Sequence","SQ"
2017,"(0020,5000)","OriginalImageIdentification","Original Image Identification","AT"
2018,"(0020,5002)","OriginalImageIdentificationNomenclature","Original Image Identification Nomenclature","LO"
2019,"(2130,00C0)","OriginalImageSequence","Original Image Sequence","SQ"
2020,"(0076,000C)","OriginalImplantAssemblyTemplateSequence","Original Implant Assembly Template Sequence","SQ"
2021,"(0068,6225)","OriginalImplantTemplateSequence","Original Implant Template Sequence","SQ"
2022,"(0008,001B)","OriginalSpecializedSOPClassUID","Original Specialized SOP Class UID","UI"
2023,"(2100,0070)","Originator","Originator","AE"
2024,"(2010,00A7)","OtherMagnificationTypesAvailable","Other Magnification Types Available","CS"
2025,"(2000,00A4)","OtherMediaAvailableSequence","Other Media Available Sequence","SQ"
2026,"(0010,1000)","OtherPatientIDs","Other Patient I​Ds","LO"
2027,"(0010,1002)","OtherPatientIDsSequence","Other Patient I​Ds Sequence","SQ"
2028,"(0010,1001)","OtherPatientNames","Other Patient Names","PN"
2029,"(0046,0064)","OtherPupillaryDistance","Other Pupillary Distance","FD"
2030,"(2010,00A9)","OtherSmoothingTypesAvailable","Other Smoothing Types Available","CS"
2031,"(0020,1070)","OtherStudyNumbers","Other Study Numbers","IS"
2032,"(0014,0054)","OuterDiameter","Outer Diameter","DS"
2033,"(0040,4033)","OutputInformationSequence","Output Information Sequence","SQ"
2034,"(0018,5000)","OutputPower","Output Power","SH"
2035,"(0068,62A5)","OverallTemplateSpatialTolerance","Overall Template Spatial Tolerance","FD"
2036,"(60xx,1001)","OverlayActivationLayer","Overlay Activation Layer","CS"
2037,"(2040,0082)","OverlayBackgroundDensity","Overlay Background Density","CS"
2038,"(60xx,0102)","OverlayBitPosition","Overlay Bit Position","US"
2039,"(60xx,0100)","OverlayBitsAllocated","Overlay Bits Allocated","US"
2040,"(60xx,0804)","OverlayBitsForCodeWord","Overlay Bits For Code Word","US"
2041,"(60xx,0069)","OverlayBitsGrouped","Overlay Bits Grouped","US"
2042,"(60xx,0800)","OverlayCodeLabel","Overlay Code Label","CS"
2043,"(60xx,0803)","OverlayCodeTableLocation","Overlay Code Table Location","AT"
2044,"(60xx,0011)","OverlayColumns","Overlay Columns","US"
2045,"(60xx,4000)","OverlayComments","Overlay Comments","LT"
2046,"(60xx,0060)","OverlayCompressionCode","Overlay Compression Code","CS"
2047,"(60xx,0063)","OverlayCompressionDescription","Overlay Compression Description","CS"
2048,"(60xx,0062)","OverlayCompressionLabel","Overlay Compression Label","SH"
2049,"(60xx,0061)","OverlayCompressionOriginator","Overlay Compression Originator","SH"
2050,"(60xx,0066)","OverlayCompressionStepPointers","Overlay Compression Step Pointers","AT"
2051,"(60xx,3000)","OverlayData","Overlay Data","OB or OW"
2052,"(0008,0024)","OverlayDate","Overlay Date","DA"
2053,"(60xx,0022)","OverlayDescription","Overlay Description","LO"
2054,"(60xx,1103)","OverlayDescriptorBlue","Overlay Descriptor - Blue","US"
2055,"(60xx,1100)","OverlayDescriptorGray","Overlay Descriptor - Gray","US"
2056,"(60xx,1102)","OverlayDescriptorGreen","Overlay Descriptor - Green","US"
2057,"(60xx,1101)","OverlayDescriptorRed","Overlay Descriptor - Red","US"
2058,"(2040,0080)","OverlayForegroundDensity","Overlay Foreground Density","CS"
2059,"(60xx,0110)","OverlayFormat","Overlay Format","CS"
2060,"(60xx,1500)","OverlayLabel","Overlay Label","LO"
2061,"(60xx,0200)","OverlayLocation","Overlay Location","US"
2062,"(2040,0060)","OverlayMagnificationType","Overlay Magnification Type","CS"
2063,"(2040,0090)","OverlayMode","Overlay Mode","CS"
2064,"(0020,0022)","OverlayNumber","Overlay Number","IS"
2065,"(60xx,0802)","OverlayNumberOfTables","Overlay Number of Tables","US"
2066,"(2040,0072)","OverlayOrImageMagnification","Overlay or Image Magnification","CS"
2067,"(60xx,0050)","OverlayOrigin","Overlay Origin","SS"
2068,"(2040,0020)","OverlayPixelDataSequence","Overlay Pixel Data Sequence","SQ"
2069,"(60xx,0052)","OverlayPlaneOrigin","Overlay Plane Origin","US"
2070,"(60xx,0012)","OverlayPlanes","Overlay Planes","US"
2071,"(60xx,0068)","OverlayRepeatInterval","Overlay Repeat Interval","US"
2072,"(60xx,0010)","OverlayRows","Overlay Rows","US"
2073,"(2040,0070)","OverlaySmoothingType","Overlay Smoothing Type","CS"
2074,"(60xx,0045)","OverlaySubtype","Overlay Subtype","LO"
2075,"(0008,0034)","OverlayTime","Overlay Time","TM"
2076,"(60xx,0040)","OverlayType","Overlay Type","CS"
2077,"(60xx,1203)","OverlaysBlue","Overlays - Blue","US"
2078,"(60xx,1200)","OverlaysGray","Overlays - Gray","US"
2079,"(60xx,1202)","OverlaysGreen","Overlays - Green","US"
2080,"(60xx,1201)","OverlaysRed","Overlays - Red","US"
2081,"(0074,104A)","OverriddenAttributesSequence","Overridden Attributes Sequence","SQ"
2082,"(3008,0062)","OverrideParameterPointer","Override Parameter Pointer","AT"
2083,"(3008,0066)","OverrideReason","Override Reason","ST"
2084,"(3008,0060)","OverrideSequence","Override Sequence","SQ"
2085,"(0018,9029)","OversamplingPhase","Oversampling Phase","CS"
2086,"(2100,0160)","OwnerID","Owner ID","SH"
2087,"(0018,9733)","PETDetectorMotionDetailsSequence","PET Detector Motion Details Sequence","SQ"
2088,"(0018,9732)","PETFrameAcquisitionSequence","PET Frame Acquisition Sequence","SQ"
2089,"(0018,9736)","PETFrameCorrectionFactorsSequence","PET Frame Correction Factors Sequence","SQ"
2090,"(0018,9751)","PETFrameTypeSequence","PET Frame Type Sequence","SQ"
2091,"(0018,9735)","PETPositionSequence","PET Position Sequence","SQ"
2092,"(0018,9749)","PETReconstructionSequence","PET Reconstruction Sequence","SQ"
